right x, right y, right size, left x, left y, left size
1.513672,15.534424,26.867188,1.219727,16.250732,29.621094
1.520020,15.528564,26.875000,1.206543,16.252197,29.632812
1.527832,15.533203,26.835938,1.217285,16.247559,29.656250
1.515381,15.534424,26.832031,1.214355,16.247314,29.652344
1.522949,15.523193,26.847656,1.216797,16.236816,29.671875
1.527100,15.535156,26.851562,1.204346,16.245361,29.664062
1.522949,15.517578,26.867188,1.202637,16.246582,29.652344
1.522461,15.524170,26.843750,1.201660,16.247803,29.675781
1.516602,15.522461,26.867188,1.197510,16.255371,29.667969
1.517334,15.522949,26.855469,1.200439,16.251709,29.664062
1.511719,15.514404,26.875000,1.194092,16.250244,29.660156
1.517578,15.512695,26.886719,1.194580,16.247070,29.652344
1.513184,15.521729,26.890625,1.196533,16.233887,29.667969
1.509277,15.536133,26.882812,1.205078,16.234375,29.667969
1.507324,15.533936,26.843750,1.199951,16.242676,29.687500
1.506592,15.532959,26.875000,1.196045,16.236816,29.695312
1.504150,15.540527,26.875000,1.194824,16.242920,29.707031
1.516602,15.521973,26.871094,1.200928,16.234375,29.703125
1.519775,15.538330,26.855469,1.203857,16.242920,29.703125
1.518066,15.553467,26.859375,1.195557,16.241699,29.695312
1.523682,15.548828,26.855469,1.195068,16.236816,29.726562
1.506592,15.552734,26.835938,1.191406,16.246826,29.722656
1.522705,15.559570,26.820312,1.190430,16.240967,29.730469
1.519775,15.560303,26.804688,1.193604,16.242920,29.730469
1.522461,15.551758,26.839844,1.188232,16.245361,29.734375
1.533203,15.575684,26.828125,1.187744,16.237061,29.742188
1.522461,15.572266,26.808594,1.185547,16.239258,29.761719
1.513184,15.556152,26.832031,1.185547,16.228516,29.730469
1.511230,15.548096,26.839844,1.183838,16.222168,29.750000
1.520020,15.547852,26.898438,1.181152,16.233154,29.757812
1.512939,15.539307,26.921875,1.180664,16.247559,29.769531
1.499023,15.540283,26.929688,1.183594,16.253906,29.777344
1.513672,15.541504,26.964844,1.174561,16.260254,29.769531
1.510986,15.543701,26.960938,1.165527,16.258301,29.765625
1.514160,15.555664,26.941406,1.172607,16.248779,29.777344
1.502686,15.564941,26.945312,1.166260,16.247559,29.781250
1.521240,15.565430,26.945312,1.165039,16.259033,29.792969
1.513916,15.566895,26.957031,1.178467,16.245605,29.792969
1.523193,15.580078,26.949219,1.179932,16.243652,29.785156
1.536865,15.577393,26.941406,1.180176,16.243652,29.800781
1.537842,15.590088,26.925781,1.191650,16.250977,29.789062
1.534912,15.588379,26.964844,1.183594,16.248291,29.773438
1.529297,15.598633,26.960938,1.180908,16.253906,29.765625
1.528320,15.612793,26.945312,1.182129,16.249756,29.769531
1.535645,15.604980,26.937500,1.180908,16.248291,29.777344
1.533447,15.592041,26.937500,1.192871,16.244873,29.773438
1.537109,15.590576,26.925781,1.194580,16.244629,29.753906
1.532471,15.578369,26.917969,1.191650,16.246826,29.753906
1.538818,15.598877,26.941406,1.193848,16.243164,29.750000
1.542480,15.580078,26.941406,1.192139,16.247803,29.750000
1.534668,15.571777,26.945312,1.182617,16.251465,29.722656
1.529541,15.580078,26.941406,1.189209,16.243408,29.734375
1.532959,15.568115,26.917969,1.186279,16.248047,29.726562
1.535156,15.564697,26.937500,1.176025,16.243164,29.726562
