right x, right y, right size, left x, left y, left size
4.331299,7.895020,28.953125,4.238037,8.330811,28.925781
4.325928,7.891602,28.972656,4.239502,8.328125,28.921875
4.313721,7.889648,28.972656,4.235840,8.328857,28.953125
4.317139,7.890625,28.960938,4.230957,8.322021,28.964844
4.307129,7.891846,28.968750,4.228760,8.316406,28.976562
4.309570,7.890381,28.957031,4.220703,8.312988,28.992188
4.295654,7.898682,28.945312,4.222656,8.315186,28.980469
4.298584,7.896973,28.949219,4.219238,8.303467,29.019531
4.292480,7.906738,28.949219,4.228271,8.305176,28.996094
4.290039,7.905273,28.957031,4.232422,8.294434,28.980469
4.281494,7.904785,28.972656,4.231445,8.300537,28.992188
4.278809,7.894775,29.003906,4.239502,8.320312,28.980469
4.281982,7.900146,28.996094,4.244629,8.320801,28.968750
4.289062,7.898926,29.007812,4.250488,8.323486,28.964844
4.293945,7.902344,28.980469,4.234375,8.302734,29.011719
4.287598,7.903320,29.007812,4.226318,8.292725,29.023438
4.288086,7.902344,28.996094,4.216553,8.281494,29.035156
4.289551,7.904297,28.996094,4.218262,8.284912,29.070312
4.292236,7.898193,28.988281,4.208496,8.278564,29.082031
4.290527,7.894043,29.035156,4.200684,8.283691,29.105469
4.289307,7.889893,29.027344,4.210938,8.289551,29.082031
4.283691,7.895508,29.035156,4.216064,8.287842,29.089844
4.285645,7.901367,29.023438,4.222168,8.296631,29.054688
4.279053,7.892578,29.035156,4.221680,8.287842,29.082031
4.275391,7.898193,29.046875,4.209717,8.290771,29.066406
4.273438,7.890625,29.058594,4.205078,8.284180,29.089844
4.272461,7.898682,29.066406,4.197266,8.272705,29.097656
4.264404,7.910400,29.058594,4.212646,8.299316,29.085938
4.262939,7.902100,29.058594,4.218750,8.304932,29.070312
4.245117,7.885254,29.078125,4.223877,8.299072,29.046875
4.241211,7.899414,29.050781,4.229492,8.303711,29.027344
4.242676,7.895264,29.050781,4.237549,8.313965,29.003906
4.241699,7.899658,29.042969,4.248535,8.315918,29.003906
4.225586,7.894775,29.054688,4.239746,8.309326,29.011719
4.232422,7.893555,29.039062,4.232178,8.303223,29.023438
4.229980,7.908203,29.035156,4.248291,8.317871,29.019531
4.220703,7.906250,29.054688,4.239014,8.314941,29.035156
4.217773,7.917725,29.058594,4.245117,8.313965,29.019531
4.225586,7.920410,29.039062,4.248535,8.323486,28.996094
4.214111,7.918701,29.035156,4.247314,8.317627,29.015625
4.210693,7.915283,29.066406,4.237305,8.313721,29.027344
4.205566,7.912598,29.042969,4.241211,8.304932,29.007812
4.203369,7.913574,29.050781,4.243164,8.301758,29.003906
4.201660,7.898438,29.039062,4.240723,8.312500,28.984375
4.203369,7.889160,29.062500,4.227051,8.311523,29.003906
4.193359,7.895508,29.039062,4.218018,8.305908,29.019531
4.190918,7.898193,29.039062,4.221436,8.312500,29.003906
4.190674,7.896240,29.050781,4.237793,8.315186,29.019531
4.188721,7.903564,29.042969,4.239014,8.334473,28.992188
4.186768,7.902100,29.035156,4.227051,8.323486,29.015625
4.187988,7.888916,29.070312,4.231445,8.329346,28.996094
4.187744,7.897705,29.058594,4.234863,8.326904,28.980469
4.184814,7.918701,29.054688,4.243164,8.332764,28.984375
4.177002,7.903809,29.078125,4.255615,8.342529,28.984375
4.169189,7.892578,29.097656,4.248779,8.334473,28.984375
4.169434,7.895996,29.117188,4.233643,8.317139,29.039062
4.166992,7.885742,29.117188,4.221436,8.314941,29.042969
4.169678,7.883301,29.128906,4.220703,8.322021,29.023438
4.170410,7.875244,29.109375,4.224854,8.327148,29.011719
4.170654,7.884277,29.117188,4.227539,8.348145,28.976562
4.164795,7.882080,29.144531,4.231445,8.354004,28.960938
4.158203,7.882324,29.140625,4.220703,8.347412,28.976562
4.160156,7.884521,29.167969,4.232422,8.346924,28.960938
4.160400,7.892334,29.148438,4.229736,8.351562,28.964844
4.158447,7.906494,29.152344,4.232178,8.347900,28.964844
4.159180,7.906006,29.128906,4.233154,8.346436,28.945312
4.158203,7.908203,29.097656,4.237549,8.358887,28.933594
4.157715,7.903564,29.085938,4.233643,8.355225,28.925781
4.159668,7.891113,29.113281,4.232178,8.348877,28.925781
4.164062,7.885010,29.128906,4.218994,8.339844,28.964844
4.144287,7.889404,29.117188,4.211182,8.326416,28.972656
4.145752,7.889648,29.132812,4.236328,8.344727,28.902344
4.146240,7.889648,29.117188,4.244141,8.346924,28.898438
4.145264,7.898682,29.101562,4.242432,8.346191,28.898438
4.148682,7.885742,29.117188,4.230957,8.335449,28.941406
4.144775,7.874023,29.144531,4.216309,8.330078,28.960938
4.146484,7.874268,29.128906,4.220459,8.331543,28.945312
4.155273,7.866211,29.113281,4.219238,8.335938,28.933594
4.151367,7.870605,29.109375,4.203125,8.325928,28.964844
4.158203,7.874268,29.085938,4.199951,8.328857,28.949219
4.167480,7.876465,29.074219,4.202637,8.327148,28.960938
4.158691,7.867676,29.093750,4.194336,8.308105,28.988281
4.158203,7.873779,29.078125,4.192627,8.319336,29.023438
4.152344,7.869629,29.093750,4.181152,8.305176,29.031250
4.150635,7.868408,29.078125,4.187012,8.295166,29.027344
4.142090,7.858887,29.070312,4.192139,8.302979,29.011719
4.156494,7.869629,29.046875,4.186279,8.289551,29.039062
4.159180,7.866943,29.042969,4.193604,8.279541,29.031250
4.174805,7.878418,29.007812,4.198975,8.288574,29.019531
4.171387,7.878906,29.003906,4.200195,8.289795,28.996094
4.174072,7.882080,28.984375,4.195312,8.284668,28.992188
4.185547,7.895264,28.984375,4.192871,8.291260,29.007812
4.185791,7.903809,28.988281,4.193604,8.303467,28.960938
4.184814,7.897949,28.976562,4.191895,8.299072,28.949219
4.180420,7.891602,29.007812,4.194580,8.302246,28.937500
4.178711,7.898926,28.984375,4.194824,8.314453,28.914062
4.182861,7.902344,28.984375,4.183350,8.297852,28.960938
4.178711,7.900635,28.984375,4.174805,8.292236,28.976562
4.179199,7.904053,28.996094,4.185791,8.300537,28.945312
4.183838,7.903809,28.980469,4.186035,8.299316,28.964844
4.179199,7.891357,28.980469,4.175537,8.277100,28.988281
4.171631,7.883301,28.992188,4.182129,8.283447,28.968750
4.176758,7.882324,28.980469,4.186035,8.291992,28.953125
4.173096,7.885986,28.972656,4.181396,8.289551,28.941406
4.172607,7.894531,28.980469,4.168945,8.278320,28.972656
4.171387,7.884033,29.027344,4.166748,8.269287,29.007812
4.172852,7.875244,29.027344,4.164795,8.260498,28.988281
4.169434,7.874756,29.000000,4.189209,8.273438,28.996094
4.168213,7.879395,28.992188,4.186768,8.282471,28.992188
4.170166,7.882080,28.976562,4.192871,8.302002,28.949219
4.173096,7.890381,28.992188,4.194580,8.308838,28.949219
4.170654,7.887207,28.984375,4.201904,8.319824,28.933594
4.168457,7.877930,28.968750,4.207275,8.316162,28.917969
4.164551,7.875732,28.996094,4.209229,8.321533,28.910156
4.162354,7.878662,28.984375,4.203369,8.312500,28.953125
4.165771,7.877686,28.984375,4.204834,8.312744,28.949219
4.166504,7.877441,28.960938,4.217773,8.308350,28.910156
4.166016,7.873779,28.953125,4.215332,8.296631,28.902344
4.165039,7.874268,28.945312,4.215332,8.291748,28.878906
4.164307,7.884766,28.937500,4.217529,8.291748,28.871094
4.163574,7.883301,28.941406,4.220215,8.296387,28.863281
4.163330,7.879883,28.929688,4.209717,8.296631,28.867188
4.162109,7.862793,28.937500,4.216553,8.296143,28.855469
4.152344,7.862061,28.953125,4.219727,8.294922,28.843750
4.153320,7.856934,28.957031,4.216553,8.281982,28.843750
4.150146,7.859375,28.960938,4.213623,8.287598,28.863281
4.137939,7.842773,28.972656,4.221680,8.303711,28.863281
4.127197,7.842041,28.988281,4.232422,8.311768,28.824219
4.127686,7.853516,29.015625,4.229492,8.311279,28.808594
4.137695,7.859131,28.988281,4.222900,8.304688,28.851562
4.150146,7.857666,28.933594,4.216064,8.300049,28.878906
4.142334,7.857666,28.953125,4.206299,8.278564,28.898438
4.142090,7.859619,28.937500,4.213135,8.282471,28.898438
4.132080,7.856201,28.945312,4.218262,8.296875,28.882812
4.130859,7.860107,28.925781,4.213135,8.286621,28.914062
4.126709,7.872070,28.914062,4.204346,8.274658,28.933594
4.132812,7.868896,28.906250,4.196533,8.272461,28.960938
4.132812,7.869629,28.894531,4.193115,8.277344,28.976562
4.126221,7.862793,28.902344,4.190430,8.268555,28.945312
4.118896,7.854736,28.910156,4.192871,8.281006,28.921875
4.115479,7.841064,28.933594,4.190918,8.262695,28.937500
